Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,IENOVA.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,NMKA.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,SITESB-1.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX,MXN
2021-10-05,125.58999633789062,14.350000381469727,41.15999984741211,18.059999465942383,391.7900085449219,39.04999923706055,57.97999954223633,38.630001068115234,14.079999923706055,45.56999969482422,1567.0699462890625,177.75999450683594,249.91000366210938,71.80999755859375,149.3000030517578,12.130000114440918,19.860000610351562,135.32000732421875,80.61000061035156,234.97999572753906,78.0,32.54999923706055,114.47000122070312,19.170000076293945,84.12000274658203,59.81999969482422,,122.16000366210938,53.20000076293945,246.94000244140625,138.08999633789062,94.94999694824219,,47.220001220703125,35.16999816894531,69.0999984741211,20.50160026550293
2021-10-06,126.0199966430664,14.350000381469727,41.220001220703125,17.780000686645508,391.1000061035156,39.459999084472656,59.34000015258789,38.90999984741211,13.880000114440918,45.15999984741211,1565.2099609375,173.69000244140625,251.1199951171875,71.83999633789062,150.50999450683594,12.34000015258789,19.739999771118164,135.47000122070312,80.80999755859375,230.49000549316406,76.0,32.689998626708984,113.66000366210938,19.399999618530273,85.69000244140625,59.2400016784668,,124.5,52.619998931884766,253.41000366210938,139.1999969482422,94.0,,47.290000915527344,35.09000015258789,70.86000061035156,20.570199966430664
2021-10-07,125.13999938964844,14.40999984741211,41.90999984741211,17.84000015258789,389.9200134277344,38.84000015258789,58.29999923706055,39.75,13.779999732971191,45.220001220703125,1568.3299560546875,170.99000549316406,253.07000732421875,73.51000213623047,149.9199981689453,12.399999618530273,19.760000228881836,132.82000732421875,84.08000183105469,222.42999267578125,76.0,32.779998779296875,112.6500015258789,19.170000076293945,83.81999969482422,60.380001068115234,,123.80000305175781,52.810001373291016,259.2099914550781,140.25999450683594,93.36000061035156,,47.75,35.150001525878906,70.04000091552734,20.5575008392334
2021-10-08,125.20999908447266,14.6899995803833,41.959999084472656,17.950000762939453,398.19000244140625,39.33000183105469,58.75,39.04999923706055,13.609999656677246,44.36000061035156,1561.6099853515625,171.99000549316406,257.6099853515625,72.8499984741211,148.94000244140625,12.8100004196167,20.40999984741211,134.9600067138672,84.5999984741211,222.14999389648438,75.19999694824219,32.529998779296875,112.25,19.010000228881836,84.41999816894531,59.83000183105469,,128.8699951171875,53.060001373291016,262.4599914550781,141.17999267578125,94.0,,47.529998779296875,35.099998474121094,70.38999938964844,20.654130935668945
2021-10-11,126.87999725341797,14.979999542236328,42.130001068115234,18.110000610351562,400.8999938964844,39.66999816894531,57.59000015258789,39.68000030517578,13.9399995803833,44.279998779296875,1559.97998046875,172.55999755859375,256.8800048828125,74.94000244140625,152.4199981689453,12.84000015258789,20.049999237060547,136.1199951171875,87.44000244140625,221.63999938964844,74.69999694824219,32.599998474121094,113.48999786376953,19.360000610351562,85.0,59.310001373291016,,127.36000061035156,53.459999084472656,267.760009765625,142.36000061035156,95.68000030517578,,47.33000183105469,35.470001220703125,71.58999633789062,20.7231502532959
2021-10-12,126.9000015258789,15.510000228881836,43.970001220703125,18.190000534057617,400.2699890136719,39.529998779296875,55.540000915527344,39.619998931884766,14.350000381469727,44.220001220703125,1560.3699951171875,173.61000061035156,258.3900146484375,73.58000183105469,153.44000244140625,12.890000343322754,20.100000381469727,137.16000366210938,85.23999786376953,223.6300048828125,74.19999694824219,33.2599983215332,114.0199966430664,19.290000915527344,86.0999984741211,60.130001068115234,,128.1199951171875,53.5,272.42999267578125,144.00999450683594,95.30999755859375,,48.11000061035156,35.7400016784668,71.98999786376953,20.847000122070312
2021-10-13,126.33000183105469,15.359999656677246,44.400001525878906,18.149999618530273,391.94000244140625,39.939998626708984,56.869998931884766,40.09000015258789,14.069999694824219,43.97999954223633,1559.5899658203125,172.5,256.7099914550781,74.01000213623047,153.1699981689453,13.029999732971191,20.239999771118164,138.1300048828125,86.69999694824219,222.63999938964844,73.69999694824219,33.150001525878906,113.0,18.75,86.12000274658203,61.439998626708984,,127.80000305175781,53.849998474121094,273.67999267578125,144.0800018310547,93.55999755859375,,48.0,35.58000183105469,71.9800033569336,20.780000686645508
2021-10-14,126.52999877929688,15.289999961853027,44.83000183105469,18.25,400.1600036621094,39.900001525878906,57.16999816894531,39.459999084472656,14.640000343322754,43.869998931884766,1556.969970703125,172.57000732421875,261.7699890136719,73.81999969482422,150.47999572753906,13.119999885559082,20.350000381469727,135.97000122070312,89.47000122070312,220.67999267578125,73.69999694824219,32.689998626708984,113.95999908447266,19.079999923706055,87.22000122070312,60.54999923706055,,128.25999450683594,54.22999954223633,275.42999267578125,146.25,93.88999938964844,,48.66999816894531,35.130001068115234,72.16000366210938,20.553699493408203
2021-10-15,126.62000274658203,15.3100004196167,45.630001068115234,18.5,404.0299987792969,41.65999984741211,57.880001068115234,40.15999984741211,14.720000267028809,43.779998779296875,1561.22998046875,171.52999877929688,265.739990234375,74.86000061035156,154.74000549316406,12.899999618530273,20.829999923706055,139.9600067138672,93.75,223.88999938964844,73.69999694824219,33.08000183105469,114.9800033569336,19.459999084472656,87.02999877929688,63.0099983215332,,128.8699951171875,56.060001373291016,287.2900085449219,150.9499969482422,97.68000030517578,,49.06999969482422,36.02000045776367,71.06999969482422,20.541799545288086
2021-10-18,127.83999633789062,15.329999923706055,45.36000061035156,18.440000534057617,405.7799987792969,41.709999084472656,59.630001068115234,41.400001525878906,14.720000267028809,43.599998474121094,1556.6600341796875,171.77999877929688,266.6199951171875,73.76000213623047,152.13999938964844,12.859999656677246,20.770000457763672,138.4199981689453,94.5199966430664,222.91000366210938,73.69999694824219,32.7599983215332,113.06999969482422,19.270000457763672,86.16000366210938,63.04999923706055,,128.94000244140625,56.08000183105469,285.2799987792969,152.61000061035156,99.11000061035156,,48.09000015258789,36.220001220703125,70.41999816894531,20.347000122070312
